"Alpha","Points:0","Points:1","Points:2","V:0","V:1","V:2","Wave_Drag","Wave_Drag_2D","Wave_Height","Wave_Height_2D","Wave_slope"
0.20681,68,2,-566.02,9.4893,-0.11539,-0.93985,0.087186,0.015644,-0.07031,-0.010323,0.014257
0.17533,76,2,-566.02,9.1112,-0.013046,-0.88471,0.07048,0.013464,0.051957,0.061524,-0.015613
0.16935,84,2,-566.02,8.6559,0.062179,-0.56913,0.059425,0.010451,0.23163,0.19163,-0.017362
0.19236,92,2,-566.02,8.2368,0.08362,-0.0046187,0.053759,0.0083573,0.17132,0.10596,-0.084397
0.22499,100,2,-566.02,7.8803,0.05687,0.44595,0.048889,0.0070182,-0.28116,-0.22876,-0.013841
0.2318,108,2,-566.02,7.6878,-0.076373,0.56939,0.045063,0.0061748,-0.41927,-0.40935,-0.023226
0.23624,116,2,-566.02,7.9535,-0.12463,0.66018,0.054558,0.0086033,-0.49785,-0.36985,0.044146
0.22812,124,2,-566.02,8.7004,0.089279,0.80696,0.07692,0.013684,0.19157,0.1058,0.11021
0.18249,132,2,-566.02,9.3258,0.38901,0.64789,0.078999,0.013529,0.36634,0.26062,-0.079529
0.25005,140,2,-566.02,9.0783,0.50078,0.40631,0.080716,0.013809,-0.093205,0.067847,0.044387
0.24059,148,2,-566.02,8.0315,0.36013,0.54055,0.051907,0.0075619,0.41357,0.30095,0.10451
0.19437,156,2,-566.02,7.0785,0.17714,0.59982,0.028627,0.0031129,0.24465,0.21503,-0.10759
0.30449,164,2,-566.02,6.9619,0.15409,-0.045953,0.035743,0.0042487,-0.10197,-0.034221,0.017284
0.25188,172,2,-566.02,7.7574,0.24436,-0.8337,0.052543,0.0082425,-0.042112,-0.052493,0.013262
0.21995,180,2,-566.02,8.772,0.24912,-0.78602,0.072676,0.011857,-0.044542,-0.064186,0.00047761
0.2514,188,2,-566.02,8.9482,0.12572,-0.15037,0.07814,0.010847,-0.16483,-0.091581,0.062901
0.17355,4,2,-556.17,12.805,-0.34519,1.228,0.18837,0.041454,-0.19713,-0.20798,-0.039439
